Número de identificação da publicação;Link permanente;Publicar mensagem;Tipo;Países;Idiomas;Publicado;Direcionamento do público;Lifetime Post Total Reach;Lifetime Post organic reach;Lifetime Post Paid Reach;Lifetime Post Total Impressions;Lifetime Post Organic Impressions;Lifetime Post Paid Impressions;Lifetime Engaged Users;Lifetime Matched Audience Targeting Consumers on Post;Lifetime Matched Audience Targeting Consumptions on Post;Lifetime Negative Feedback from Users;Lifetime Negative Feedback;Lifetime Post Impressions by people who have liked your Page;Lifetime Post reach by people who like your Page;Lifetime Post Paid Impressions by people who have liked your Page;Lifetime Paid reach of a post by people who like your Page;Lifetime People who have liked your Page and engaged with your post;Lifetime Organic views to 95%...25;Lifetime Organic views to 95%...26;Lifetime Paid views to 95%...27;Lifetime Paid views to 95%...28;Lifetime Organic Video Views...29;Lifetime Organic Video Views...30;Lifetime Paid Video Views...31;Lifetime Paid Video Views...32;Lifetime Average time video viewed;Lifetime Video length;Descrição;share;like;comment
417092451820846_444648149065276;https://www.facebook.com/lojascitycol/photos/a.418868384976586/444648149065276/?type=3;A nossa nova coleção será lançada nesta quinta-feira (25/2), na Citycol Duque de Caxias! Nós e a Maria Joana estaremos esperando você na Av. Nilo Peçanha, 276, Centro das 14h às 16h. Venha conferir as novidades! #nacitycoltem;Photo;NA;NA;2016-02-22T11:17:07Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Lifetime: The number of stories created about your Page post, by action type. (Total Count);53;1313;52
417092451820846_443434679186623;https://www.facebook.com/lojascitycol/photos/a.418868384976586/443434679186623/?type=3;A nova coleção da Citycol está incrível junto com a Maria Joana, já conferiu? Dá uma olhada nas novidades que a gente trouxe e veja o look que mais combina com você: bit.ly/1Qog4Cq #nacitycoltem;Photo;NA;NA;2016-02-18T08:54:09Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;33;2503;65
417092451820846_443400289190062;https://www.facebook.com/lojascitycol/photos/a.443399889190102/443400289190062/?type=3;Blusa com fenda  Tam: P M G  R$ 19,99 Cód.: 876713;Photo;NA;NA;2016-02-18T07:56:00Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;50;3
417092451820846_441676472695777;https://www.facebook.com/lojascitycol/photos/a.418868384976586/441676472695777/?type=3;A próxima coleção está maravilhosa e quase chegando nas lojas! A Citycol tem o look certo para deixar você linda na estação mais charmosa do ano. Fique ligada nas novidades! #nacitycoltem 😉;Photo;NA;NA;2016-02-12T12:54:57Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;10;2057;25
417092451820846_439601976236560;https://www.facebook.com/lojascitycol/videos/439601976236560/;Quer saber como foi o lançamento da Coleção de Carnaval Citycol com a Maria Joana? Confira aqui o que rolou na nossa loja em Madureira e aproveite para montar o seu look incrível. Ainda dá tempo de brilhar durante a folia! #citycol;Video;NA;NA;2016-02-05T04:39:32Z;NA;12370;11910;0;17939;17077;0;1485;1386;1553;0;0;7730;4541;0;0;738;2055;2150;0;0;4075;4531;0;0;0;15440;NA;8;156;3
417092451820846_439136822949742;https://www.facebook.com/lojascitycol/photos/a.418868384976586/439136822949742/?type=3;Quer saber como foi o lançamento da Coleção de Carnaval Citycol com a Maria Joana? Confira aqui o que rolou na nossa loja em Madureira e aproveite para montar o seu look incrível. Ainda dá tempo de brilhar durante a folia! #citycol http://on.fb.me/1KqkVGR;Photo;NA;NA;2016-02-03T09:57:13Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;11;5562;27
417092451820846_439134856283272;https://www.facebook.com/lojascitycol/photos/a.439134836283274/439134856283272/?type=3;Lançamento Coleção Carnaval Citycol - Loja Madureira;Photo;NA;NA;2016-02-03T09:52:54Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;26;1
417092451820846_438463616350396;https://www.facebook.com/lojascitycol/photos/a.418868384976586/438463616350396/?type=3;Agora você pode! A musa Maria Joana irá lançar a nossa coleção de carnaval na Citycol de Madureira. Ela estará esperando você nesta terça dia 02/02 na Estrada do Portela, 23 - Madureira, das 14h às 16h para tirar uma foto. Corre lá!;Photo;NA;NA;2016-02-01T06:11:00Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;14;460;15
417092451820846_436403793223045;https://www.facebook.com/lojascitycol/photos/a.418868384976586/436403793223045/?type=3;Pronta para o Carnaval? A musa Maria Joana  mostra como arrasar na avenida com a Coleção Carnaval Citycol. Confere aí! http://on.fb.me/1SfDJcZ;Photo;NA;NA;2016-01-25T13:07:12Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;25;1957;58
417092451820846_436403349889756;https://www.facebook.com/lojascitycol/photos/a.436403189889772/436403349889756/?type=3;Regata + Cropped R$22,99 Cod. 876552 Short R$15,99 Cod. 974858;Photo;NA;NA;2016-01-25T13:03:03Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;1;37;NA
